affector,target,strength
H6G84_RS13220,H6G84_RS05955,-0.21431755
H6G84_RS04855,H6G84_RS04225,0.20553726
H6G84_RS03180,H6G84_RS04225,-0.22473346
H6G84_RS04575,H6G84_RS04225,0.11123242
H6G84_RS12560,H6G84_RS04225,-0.17353696
H6G84_RS09525,H6G84_RS04225,0.1967737
H6G84_RS02020,H6G84_RS04225,-0.10599874
H6G84_RS05575,H6G84_RS04225,-0.10268267
P_tesA,H6G84_RS04225,0.13920835
P_kaiBC,H6G84_RS04225,-0.10628567
P_rpaA_D53E,H6G84_RS04225,0.8902898
P_OX_plasmid,H6G84_RS04225,0.60196084
P_p0050_kaiBC,H6G84_RS04225,-0.16808954
P_sigF,H6G84_RS04225,-0.10019175
P_pAM2991-xylEAB,H6G84_RS04225,0.16575223
P_tesA,H6G84_RS02085,-0.14121234
P_p0050_kaiBC,H6G84_RS02085,0.20580962
H6G84_RS05575,H6G84_RS12940,0.11610094
P_p0050_kaiBC,H6G84_RS12940,-0.18525757
P_rpaA,H6G84_RS09975,-0.14513381
P_kaiBC,H6G84_RS09975,-0.19161122
P_rpaA_D53E,H6G84_RS09975,0.7310219
P_OX_plasmid,H6G84_RS09975,0.47136983
H6G84_RS12160,H6G84_RS12045,0.19475074
H6G84_RS12820,H6G84_RS12045,0.102291964
P_rpaA_D53E,H6G84_RS12045,0.2329793
P_OX_plasmid,H6G84_RS12045,0.3512048
P_p0050_kaiBC,H6G84_RS12045,0.18881431
P_relA,H6G84_RS12045,0.3462205
H6G84_RS09975,H6G84_RS05285,0.10650174
H6G84_RS00730,H6G84_RS05285,-0.10391899
H6G84_RS12560,H6G84_RS05285,-0.15107493
H6G84_RS09525,H6G84_RS05285,-0.37044027
H6G84_RS05575,H6G84_RS05285,0.3514834
H6G84_RS12555,H6G84_RS05285,0.10321306
P_tesA,H6G84_RS05285,-0.19720124
P_kaiBC,H6G84_RS05285,0.12481047
P_rpaA_D53E,H6G84_RS05285,-0.45218578
P_OX_plasmid,H6G84_RS05285,-0.82421935
P_Subjective_dawn,H6G84_RS05285,-0.88285244
P_Subjective_dusk,H6G84_RS05285,1.3815639
P_p0050_kaiBC,H6G84_RS05285,-0.105590925
P_rel,H6G84_RS05285,-0.26361218
P_relA,H6G84_RS05285,0.30389142
P_relA_E335Q,H6G84_RS05285,0.5705222
P_sigF,H6G84_RS05285,0.7097279
P_pAM2991-xylEAB,H6G84_RS05285,-0.35420328
P_pilB::Tn5,H6G84_RS05285,0.217
P_CM,H6G84_RS05285,0.19139917
P_tesA,H6G84_RS09205,-0.13125466
P_p0050_kaiBC,H6G84_RS09205,-0.37638775
P_rel,H6G84_RS09205,0.17439766
P_relA,H6G84_RS09205,1.0326688
P_relA_E335Q,H6G84_RS09205,-0.3195073
P_sigF,H6G84_RS09205,-0.10137215
P_pAM2991-xylEAB,H6G84_RS09205,-0.17254792
H6G84_RS13220,H6G84_RS09485,0.13447362
H6G84_RS12160,H6G84_RS03075,-0.12136234
H6G84_RS09525,H6G84_RS03075,-0.129331
P_p0050_kaiBC,H6G84_RS03075,-0.42977545
P_relA,H6G84_RS03075,0.38861948
P_relA_E335Q,H6G84_RS03075,-0.20448422
P_Light(umol_photons_m-2_s-1),H6G84_RS12065,-0.1122289
H6G84_RS12160,H6G84_RS10085,0.2071007
H6G84_RS05285,H6G84_RS10085,0.21335794
H6G84_RS11960,H6G84_RS10085,-0.109002575
H6G84_RS05575,H6G84_RS10085,0.1481612
P_OX_plasmid,H6G84_RS10085,-0.10228875
P_p0050_kaiBC,H6G84_RS10085,-0.22143075
P_relA,H6G84_RS10085,0.31604555
H6G84_RS03740,H6G84_RS13220,0.14947434
P_aas,H6G84_RS13220,0.13472492
P_rpaA,H6G84_RS13220,0.13268153
P_kaiBC,H6G84_RS13220,0.4106056
P_Subjective_dawn,H6G84_RS13220,0.14988616
P_Light(umol_photons_m-2_s-1),H6G84_RS13220,2.2887256
P_sigF,H6G84_RS13220,0.12791334
P_rpoD6,H6G84_RS13220,0.35004798
H6G84_RS09525,H6G84_RS12550,-0.19061376
H6G84_RS11960,H6G84_RS12550,-0.43824008
P_tesA,H6G84_RS12550,-0.21710318
P_rpaA_D53E,H6G84_RS12550,-0.13476491
P_OX_plasmid,H6G84_RS12550,-0.282701
P_Subjective_dawn,H6G84_RS12550,-0.108294725
P_p0050_kaiBC,H6G84_RS12550,0.17131682
P_relA,H6G84_RS12550,0.119350895
P_pAM2991-xylEAB,H6G84_RS12550,-0.18866673
P_pAM2991-galP,H6G84_RS12550,-0.13980414
H6G84_RS09525,H6G84_RS02710,0.13843043
P_rpaA_D53E,H6G84_RS02710,0.13513038
P_p0050_kaiBC,H6G84_RS02710,-0.30145705
P_relA,H6G84_RS02710,0.6715521
P_relA_E335Q,H6G84_RS02710,-0.20182528
P_sigF,H6G84_RS02710,-0.20396006
P_pAM2991-xylEAB,H6G84_RS02710,-0.106543444
P_Light(umol_photons_m-2_s-1),H6G84_RS02820,0.22739524
H6G84_RS12160,H6G84_RS08775,0.31086314
H6G84_RS10470,H6G84_RS08775,0.12793566
H6G84_RS05285,H6G84_RS08775,0.1387531
H6G84_RS11200,H6G84_RS08775,0.15816322
H6G84_RS05575,H6G84_RS08775,0.25751427
P_tesA,H6G84_RS08775,-0.13324966
P_rpaA_D53E,H6G84_RS08775,0.18353327
P_OX_plasmid,H6G84_RS08775,0.31534114
P_Subjective_dusk,H6G84_RS08775,0.11346895
P_p0050_kaiBC,H6G84_RS08775,-0.28138006
P_relA,H6G84_RS08775,0.4019727
P_pAM2991-xylEAB,H6G84_RS08775,-0.10175389
P_pilB::Tn5,H6G84_RS08775,0.119126685
H6G84_RS12160,H6G84_RS03910,0.23001875
P_rpaA_D53E,H6G84_RS03910,0.11417748
P_OX_plasmid,H6G84_RS03910,0.13678274
P_p0050_kaiBC,H6G84_RS03910,-0.17442721
H6G84_RS12160,H6G84_RS03915,0.16540137
H6G84_RS11200,H6G84_RS03915,0.117609404
P_rpaA_D53E,H6G84_RS03915,0.21773562
P_OX_plasmid,H6G84_RS03915,0.40180635
P_p0050_kaiBC,H6G84_RS03915,-0.16614707
H6G84_RS05575,H6G84_RS12060,0.17119227
P_rpaA_D53E,H6G84_RS12060,-0.1058304
P_Subjective_dusk,H6G84_RS12060,0.3466516
P_relA,H6G84_RS12060,0.2416851
P_OX_plasmid,H6G84_RS03905,0.13249144
P_p0050_kaiBC,H6G84_RS03905,-0.15339388
H6G84_RS09525,H6G84_RS12285,-0.20082787
P_tesA,H6G84_RS12285,-0.3267666
P_rpaA_D53E,H6G84_RS12285,0.20477945
P_OX_plasmid,H6G84_RS12285,0.3350343
P_p0050_kaiBC,H6G84_RS12285,-0.5339946
P_rel,H6G84_RS12285,-0.10599883
P_relA_E335Q,H6G84_RS12285,0.3771214
P_sigF,H6G84_RS12285,0.12516896
P_pAM2991-xylEAB,H6G84_RS12285,-0.24411558
P_pAM2991-galP,H6G84_RS12285,-0.19193307
P_pilB::Tn5,H6G84_RS12285,0.3414536
H6G84_RS00730,H6G84_RS01315,-0.12308112
H6G84_RS11200,H6G84_RS01315,-0.19923049
P_OX_plasmid,H6G84_RS01315,-0.11529347
P_p0050_kaiBC,H6G84_RS01315,-0.5265946
P_relA,H6G84_RS01315,0.7870074
P_relA_E335Q,H6G84_RS01315,-0.11849883
P_pAM2991-xylEAB,H6G84_RS01315,-0.18700641
P_pAM2991-galP,H6G84_RS01315,-0.15181859
H6G84_RS12160,H6G84_RS11990,0.14129362
P_rpaA_D53E,H6G84_RS11990,0.15037851
P_OX_plasmid,H6G84_RS11990,0.17671813
P_p0050_kaiBC,H6G84_RS11990,-0.13922085
H6G84_RS03740,H6G84_RS04070,0.15209521
P_rpaA_D53E,H6G84_RS10325,-0.15532582
P_OX_plasmid,H6G84_RS10325,-0.26343963
P_Subjective_dusk,H6G84_RS10325,0.26961163
P_p0050_kaiBC,H6G84_RS10325,-0.23652545
P_rel,H6G84_RS10325,-0.12997894
P_relA_E335Q,H6G84_RS10325,0.4547437
P_rpaA_D53E,H6G84_RS00810,0.16258037
P_OX_plasmid,H6G84_RS00810,0.16651551
H6G84_RS13220,H6G84_RS11685,-0.20506899
H6G84_RS12160,H6G84_RS00730,0.6573063
H6G84_RS05285,H6G84_RS00730,0.4733973
H6G84_RS09525,H6G84_RS00730,0.21534865
H6G84_RS02205,H6G84_RS00730,0.2646281
H6G84_RS11960,H6G84_RS00730,0.18336557
H6G84_RS11200,H6G84_RS00730,0.1381567
H6G84_RS05575,H6G84_RS00730,0.9519699
P_tesA,H6G84_RS00730,0.42161274
P_rpaA_D53E,H6G84_RS00730,-0.53147596
P_Subjective_dawn,H6G84_RS00730,-0.3094432
P_Subjective_dusk,H6G84_RS00730,0.22836886
P_p0050_kaiBC,H6G84_RS00730,-0.3267904
P_rel,H6G84_RS00730,-0.32234564
P_relA,H6G84_RS00730,0.12365738
P_relA_E335Q,H6G84_RS00730,0.19954531
P_sigF,H6G84_RS00730,0.13171628
P_pAM2991-xylEAB,H6G84_RS00730,0.2843442
P_pAM2991-galP,H6G84_RS00730,0.20441838
P_pilB::Tn5,H6G84_RS00730,0.41225183
P_CM,H6G84_RS00730,0.36304456
P_rpaA_D53E,H6G84_RS13475,0.2566379
P_OX_plasmid,H6G84_RS13475,0.30123878
P_p0050_kaiBC,H6G84_RS13475,-0.30056974
H6G84_RS12160,H6G84_RS05725,0.41414577
H6G84_RS05285,H6G84_RS05725,0.11343088
H6G84_RS12820,H6G84_RS05725,0.10539978
H6G84_RS05575,H6G84_RS05725,0.19475643
P_rpaA_D53E,H6G84_RS05725,0.28470758
P_OX_plasmid,H6G84_RS05725,0.23272088
P_Subjective_dusk,H6G84_RS05725,0.10332165
P_p0050_kaiBC,H6G84_RS05725,-0.23987481
P_relA,H6G84_RS05725,0.5466553
P_relA_E335Q,H6G84_RS05725,-0.12892227
H6G84_RS04225,H6G84_RS12560,-0.16151176
H6G84_RS05575,H6G84_RS12560,0.19963373
P_rpaA_D53E,H6G84_RS12560,-0.7904001
P_OX_plasmid,H6G84_RS12560,-0.43741408
P_Subjective_dusk,H6G84_RS12560,0.14874993
P_relA,H6G84_RS12560,0.13022962
P_sigF,H6G84_RS12560,0.15765248
P_OX_plasmid,H6G84_RS07435,-0.15567054
P_relA,H6G84_RS07435,0.107549995
H6G84_RS09745,H6G84_RS09715,-0.14487238
H6G84_RS12160,H6G84_RS09715,0.22596832
H6G84_RS05285,H6G84_RS09715,0.13159704
H6G84_RS05575,H6G84_RS09715,0.15976508
P_Subjective_dawn,H6G84_RS09715,-0.17459685
P_Subjective_dusk,H6G84_RS09715,0.16892184
P_pilB::Tn5,H6G84_RS09715,0.11591689
H6G84_RS09745,H6G84_RS09525,0.120846175
H6G84_RS12160,H6G84_RS09525,0.199548
H6G84_RS00730,H6G84_RS09525,0.21328278
H6G84_RS05575,H6G84_RS09525,0.15856788
P_aas,H6G84_RS09525,-0.11072493
P_tesA,H6G84_RS09525,0.49529403
P_rpaA_D53E,H6G84_RS09525,0.5918298
P_OX_plasmid,H6G84_RS09525,0.4948416
P_Subjective_dawn,H6G84_RS09525,0.19695479
P_Subjective_dusk,H6G84_RS09525,-0.4786615
P_p0050_kaiBC,H6G84_RS09525,-0.2749858
P_rel,H6G84_RS09525,-0.12374614
P_relA,H6G84_RS09525,0.15255721
P_relA_E335Q,H6G84_RS09525,0.39260003
P_sigF,H6G84_RS09525,-1.030144
P_pAM2991-xylEAB,H6G84_RS09525,0.72422624
P_pAM2991-galP,H6G84_RS09525,0.39701188
P_CM,H6G84_RS09525,0.36320573
P_Light(umol_photons_m-2_s-1),H6G84_RS02765,-0.13679506
H6G84_RS12160,H6G84_RS05795,0.2728947
P_OX_plasmid,H6G84_RS05795,0.17472786
P_p0050_kaiBC,H6G84_RS05795,-0.2835837
P_relA,H6G84_RS05795,0.10177478
P_OX_plasmid,H6G84_RS00560,0.10619837
P_p0050_kaiBC,H6G84_RS00560,-0.7837072
P_pAM2991-xylEAB,H6G84_RS00560,-0.11293288
H6G84_RS12160,H6G84_RS08885,0.3712885
H6G84_RS11200,H6G84_RS08885,0.16434588
H6G84_RS05575,H6G84_RS08885,0.15227501
P_rpaA_D53E,H6G84_RS08885,0.18548787
P_OX_plasmid,H6G84_RS08885,0.40813377
P_p0050_kaiBC,H6G84_RS08885,-0.26912323
H6G84_RS05285,H6G84_RS13040,0.16324358
H6G84_RS09525,H6G84_RS13040,-0.115594886
H6G84_RS11960,H6G84_RS13040,-0.22093241
P_tesA,H6G84_RS13040,-0.18818855
P_rpaA_D53E,H6G84_RS13040,-0.10909371
P_OX_plasmid,H6G84_RS13040,-0.35874376
P_Subjective_dusk,H6G84_RS13040,0.39764678
P_p0050_kaiBC,H6G84_RS13040,0.19064307
P_pilB::Tn5,H6G84_RS13040,0.21942168
H6G84_RS12160,H6G84_RS12975,0.27324468
H6G84_RS11960,H6G84_RS12975,0.12248329
H6G84_RS05575,H6G84_RS12975,0.15984558
P_aas,H6G84_RS12975,-0.14402175
P_tesA,H6G84_RS12975,0.5270843
P_kaiBC,H6G84_RS12975,-0.16037121
P_OX_plasmid,H6G84_RS12975,0.38640234
P_p0050_kaiBC,H6G84_RS12975,-0.4069972
P_rel,H6G84_RS12975,-0.5981296
P_relA,H6G84_RS12975,-0.39613315
P_relA_E335Q,H6G84_RS12975,0.91612065
P_sigF,H6G84_RS12975,0.1004249
P_pAM2991-galP,H6G84_RS12975,-0.14607213
P_tesA,H6G84_RS08525,-0.11048644
P_rpaA_D53E,H6G84_RS08525,0.15274338
P_Subjective_dusk,H6G84_RS08525,0.11801055
P_p0050_kaiBC,H6G84_RS08525,-0.42688087
P_relA,H6G84_RS08525,0.54488546
P_pAM2991-xylEAB,H6G84_RS08525,-0.16431978
H6G84_RS12160,H6G84_RS02205,0.49939016
H6G84_RS05285,H6G84_RS02205,0.72394705
H6G84_RS00730,H6G84_RS02205,0.2919559
H6G84_RS11960,H6G84_RS02205,0.19780107
H6G84_RS11200,H6G84_RS02205,0.14412653
H6G84_RS05575,H6G84_RS02205,0.5688907
P_tesA,H6G84_RS02205,0.34070766
P_rpaA,H6G84_RS02205,0.10084752
P_rpaA_D53E,H6G84_RS02205,-0.49015006
P_Subjective_dawn,H6G84_RS02205,-0.58690095
P_Subjective_dusk,H6G84_RS02205,0.23650536
P_p0050_kaiBC,H6G84_RS02205,-0.32971
P_rel,H6G84_RS02205,-0.3454084
P_relA,H6G84_RS02205,0.10825337
P_sigF,H6G84_RS02205,0.23268256
P_pAM2991-xylEAB,H6G84_RS02205,-0.26009998
P_pAM2991-galP,H6G84_RS02205,0.22189279
P_pilB::Tn5,H6G84_RS02205,0.39554042
P_CM,H6G84_RS02205,0.23897944
H6G84_RS05285,H6G84_RS11960,-0.33414644
H6G84_RS09525,H6G84_RS11960,0.61676925
P_tesA,H6G84_RS11960,0.42002094
P_rpaA_D53E,H6G84_RS11960,0.25189784
P_OX_plasmid,H6G84_RS11960,0.622702
P_Subjective_dawn,H6G84_RS11960,0.117699765
P_Subjective_dusk,H6G84_RS11960,-0.14816643
P_p0050_kaiBC,H6G84_RS11960,-0.43618172
P_rel,H6G84_RS11960,-0.11110718
P_relA,H6G84_RS11960,-0.23600957
P_relA_E335Q,H6G84_RS11960,0.14431858
P_sigF,H6G84_RS11960,-0.16149077
P_pAM2991-xylEAB,H6G84_RS11960,0.38715932
P_pAM2991-galP,H6G84_RS11960,0.1421778
P_pilB::Tn5,H6G84_RS11960,0.61086
P_CM,H6G84_RS11960,0.4930667
P_OX_plasmid,H6G84_RS06285,0.117496535
P_p0050_kaiBC,H6G84_RS06285,-0.14504062
H6G84_RS12160,H6G84_RS12820,0.13437606
H6G84_RS09525,H6G84_RS12820,0.13902627
P_tesA,H6G84_RS12820,-0.28536394
