Cluster,Size,Density,Internal weight,Boundary weight,Quality,P-value,Members
52,5,0.3517,3.517,15.75,0.1202,0.851865,"Q31JY2 Q31KR6 Q31LU7 Q31QK2 Q31L49"
53,8,0.3154,8.831,24.31,0.1797,0.752582,"Q935X2 Q31M29 Q31S21 Q31N83 Q31QM9 Q31LA0 Q31MS0 Q31S93"
54,4,0.3333,2.000,6.835,0.1188,0.764757,"Q31KX5 Q31QJ5 Q31RL4 Q31RU2"
55,7,0.4698,9.866,5.416,0.3369,0.0100185,"Q31PJ5 Q31L76 Q31ND9 Q31RC4 Q31PN6 Q31PD1 Q31QG4"
56,9,0.3124,11.25,20.12,0.2278,0.313515,"O32463 Q31KH4 Q31LH6 Q31PF2 Q31QT5 Q8GMR3 Q31KW8 Q31RS5 Q31P95"
57,6,0.3353,5.030,24.79,0.1203,0.851023,"Q31NJ7 Q31SC8 Q54734 Q31NS1 Q31MI9 Q31QC2"
58,6,0.3585,5.378,6.790,0.2225,0.148977,"Q31JZ0 Q31KT8 Q31NH8 Q31R64 Q31RX7 Q8KPR4"
59,4,0.3365,2.019,3.235,0.1523,0.279493,"Q31KL6 Q31LE0 Q31NA6 Q31RR6"
60,5,0.3355,3.355,6.623,0.1679,0.417018,"Q31KL6 Q31M32 Q31NA6 Q31Q11 Q31RR6"
61,6,0.3634,5.451,42.70,0.09062,0.935897,"Q31KN7 Q31QZ9 Q31KU2 Q31RX9 Q31Q47 Q31QJ9"
62,5,0.3182,3.182,8.775,0.1449,0.500000,"Q31LY9 Q31KW8 Q31LK1 Q31RS5 Q31RP3"
63,4,0.3497,2.098,11.93,0.09523,0.992931,"Q31L96 Q31N24 Q31M80 Q31QP0"
64,3,0.4313,1.294,6.285,0.09529,0.808633,"Q31NT0 P34185 Q31RD9"
65,3,0.5120,1.536,8.516,0.09569,0.808633,"Q31LL7 Q31MY4 Q31P84"
66,4,0.3353,2.012,11.20,0.09487,0.903035,"Q31MB6 Q31NC7 Q31PX5 Q55311"
67,4,1.157,6.942,3.998,0.3665,0.0132594,"Q06904 Q79PF6 Q8GLI4 Q79PF5"
68,6,0.3057,4.585,11.48,0.1634,0.655540,"Q31KN9 Q31LR7 Q31NS3 Q31R79 Q31RL9 Q8GAA2"
69,8,0.3109,8.706,21.37,0.1890,0.520939,"Q54767 Q31S64 Q31KN1 Q31LV2 Q31P44 Q31Q67 Q31P43 Q31Q69"
70,4,0.3260,1.956,14.55,0.07980,0.992931,"O68523 Q8GIS4 Q8GMR8 Q31M07"
71,4,0.3408,2.045,8.061,0.1129,0.557383,"Q31KX5 Q31QJ5 Q31RJ6 Q8GMR9"
72,3,0.7553,2.266,5.084,0.1697,0.808633,"Q54755 Q54776 Q54761"
73,12,0.3065,20.23,28.56,0.2779,0.0302730,"Q8KPU9 Q31LT1 Q31MN6 Q31K01 Q31QK9 Q31K19 Q31PQ2 Q31QU4 Q31MG8 Q31N39 Q31QP9 Q31PQ0"
74,4,0.4005,2.403,4.711,0.1590,0.154712,"Q54764 Q31R76 Q31RG7 Q54765"
75,15,0.3039,31.90,66.62,0.2482,0.287649,"O32463 Q31LH6 Q31PY5 Q31PZ6 Q31RM5 Q935Y4 Q31N34 Q31PP6 Q31K44 Q31PY6 Q31KX4 Q31QY8 Q31S11 Q31Q07 Q31N26"
76,6,0.3091,4.636,5.574,0.2087,0.256815,"Q8GLI4 Q31MT5 Q9KHI5 Q31L79 Q31M37 Q31QN7"
77,4,0.3282,1.969,3.911,0.1419,0.332503,"Q31KC2 Q31MV0 Q31PF9 Q31R28"
78,4,0.8323,4.994,0.7280,0.3639,0.0132594,"P0A3F4 Q6V1L5 Q7X386 P29283"
79,3,0.4970,1.491,5.333,0.1163,0.959572,"Q31K41 Q31LZ1 Q31QS0"
80,6,0.3091,4.637,4.960,0.2147,0.0852329,"Q935X2 P35088 Q31KE2 Q31MB3 Q31PL7 Q31S78"
81,6,0.3189,4.784,5.865,0.2112,0.0829456,"Q31MQ7 Q31KN5 Q31S56 Q31NJ9 Q31PX7 Q31RH6"
82,6,0.3098,4.647,6.384,0.2018,0.0627651,"Q31Q06 Q31Q12 Q31LE1 Q31QR5 Q31M08 Q31QT3"
83,6,0.3689,5.533,5.461,0.2406,0.0452060,"Q935X2 Q31KE2 Q31MB3 Q31PL7 Q31QI7 Q31S78"
84,9,0.3036,10.93,27.91,0.1923,0.0662592,"Q31M23 Q31KN9 Q31LR7 Q31NS3 Q31R79 Q31QR3 Q31M25 Q31RL9 Q8GAA2"
85,4,0.3497,2.098,4.996,0.1390,0.764757,"Q31Q19 Q31PR2 Q31PR4 Q31Q18"
