O33698	Q31S47	0.653
O33698	Q31SC5	0.907
O33698	Q54709	0.696
O33698	Q79PF4	0.616
O33698	Q7X4K8	0.65
O33698	Q9Z3H5	0.681
O34125	Q9L4P4	0.76
O34209	P21577	0.741
O34209	P22879	0.763
O34209	P50020	0.761
O34209	P50021	0.753
O34209	P50022	0.695
O34209	P53533	0.864
O34209	Q31KP3	0.63
O34209	Q31LG5	0.741
O34209	Q31P62	0.629
O34209	Q31P93	0.623
O34209	Q31QF2	0.793
O34209	Q31QL4	0.627
O34209	Q31QZ9	0.779
O34209	Q31RM5	0.589
O34209	Q79N42	0.704
O50209	P06539	0.957
O50209	P13530	0.948
O50209	Q31KE0	0.691
O50209	Q31L59	0.842
O50209	Q31LJ5	0.721
O50209	Q31LK8	0.725
O50209	Q31LK9	0.952
O50209	Q31LM4	0.623
O50209	Q31LM9	0.768
O50209	Q31LY1	0.73
O50209	Q31N38	0.773
O50209	Q31N86	0.735
O50209	Q31NV7	0.693
O50209	Q31PD8	0.873
O50209	Q31PD9	0.906
O50209	Q31Q37	0.724
O50209	Q31Q65	0.824
O50209	Q31QD7	0.65
O50209	Q31QK5	0.809
O50209	Q31RF1	0.639
O50209	Q31RF9	0.905
O50209	Q31RG0	0.938
O50209	Q31RG1	0.953
O50209	Q31RG2	0.931
O50209	Q31RP7	0.912
O50209	Q44115	0.669
O50209	Q44116	0.708
O50209	Q54705	0.68
O50209	Q54755	0.624
O50209	Q8VW88	0.667
O50209	Q9Z3G5	0.791
O68523	Q31KQ9	0.618
O68523	Q31MC6	0.637
O68523	Q31QL7	0.63
O68523	Q8GIS4	0.595
O68523	Q8KPQ5	0.663
O85785	P06539	0.668
O85785	P33171	0.72
O85785	Q31L59	0.702
O85785	Q31LJ5	0.641
O85785	Q31LM4	0.665
O85785	Q31LM9	0.702
O85785	Q31ME6	0.616
O85785	Q31N38	0.693
O85785	Q31PL1	0.659
O85785	Q31QJ2	0.673
O85785	Q31QK5	0.638
O85785	Q31RI7	0.648
O85785	Q44116	0.666
O85785	Q54705	0.659
P06539	P0A2Z8	0.635
P06539	P12243	0.889
P06539	P13530	0.997
P06539	P33171	0.899
P06539	P50021	0.763
P06539	Q31KE0	0.83
P06539	Q31KS4	0.92
P06539	Q31L59	0.858
P06539	Q31LJ5	0.661
P06539	Q31LK8	0.806
P06539	Q31LK9	0.934
P06539	Q31LM9	0.649
P06539	Q31MY7	0.826
P06539	Q31N17	0.667
P06539	Q31N38	0.793
P06539	Q31N86	0.747
P06539	Q31NV7	0.694
P06539	Q31NV8	0.708
P06539	Q31PD8	0.949
P06539	Q31PD9	0.947
P06539	Q31PL2	0.675
P06539	Q31Q37	0.793
P06539	Q31QD7	0.71
P06539	Q31QF2	0.723
P06539	Q31QK5	0.794
P06539	Q31QV2	0.745
P06539	Q31RF1	0.844
P06539	Q31RF4	0.65
P06539	Q31RF9	0.933
P06539	Q31RG0	0.973
P06539	Q31RG1	0.973
P06539	Q31RG2	0.917
P06539	Q31RP7	0.951
P06539	Q44115	0.812
P06539	Q55357	0.67
P06539	Q9Z3G5	0.829
P0A2Z8	P13530	0.817
P0A2Z8	Q31KS4	0.962
P0A2Z8	Q31L15	0.694
P0A2Z8	Q31L59	0.643
P0A2Z8	Q31LJ5	0.714
P0A2Z8	Q31LM9	0.745
P0A2Z8	Q31ML0	0.632
P0A2Z8	Q31N38	0.656
P0A2Z8	Q31NV7	0.651
