,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
H6G84_RS00055,0.017187164458595885,-0.023730313455095967,0.003492990541513919,-0.008289160764431014,-0.00634164975281103,0.004443461030703129,0.0009595187155248654,-0.0011452303765149986,0.00961371956939574,-0.005643000116006385,0.004270377638082387,-0.011043486641952165,-0.004104856600266264,-0.004405570028033486,0.07019386324653412,0.00036800950693036155,0.0021844335918384827,0.003949312362612923,-0.005893734221277879,-0.00219614348969398,0.0032681030166250963,-0.0005707500141208071,-0.0067420320283739284,-0.010829441851578392,0.0038704572102669314,-0.004831651885570605,0.013525223036150386,0.0038836156880025056,0.00648908117252706,0.018584094225199722,0.008977669289332727,-0.007150418582079485,-0.004529612606934573,0.0035818879634746713,0.010848914876536503,-0.0028286282558743136,-0.005320923246000181,0.00791403814358933,0.007513597363702248,-0.0009197800321359916,0.009839244571398726,-0.009613497799623187,0.003125434061257525,-0.007999609899741092,-0.012099330371800618,-0.0037061081170957177,-0.033714959913096205,-0.003937740023586133,-0.003531677780844057,-0.018938154396039,-0.002085851946811751,-0.0018626198279580355,-0.006757420156908816,0.0009723747987219711,-0.010536180686080301,-0.0062325753620165614,-0.005778393975567401,0.015763377840878202,-0.017022728531437457
H6G84_RS00060,0.020180774585917657,-0.005964468913486186,-0.005251586222196673,0.006908376228379819,0.003558379545525313,0.004814672490367476,0.008966733361758858,-0.006075687142419436,4.890584253369726e-05,-0.009162761865392754,0.002687745470789151,-0.008704224580585717,0.0016154604817499654,-0.010228557339146974,0.06889476074345252,0.005911881135630352,-0.0012930809452812277,-0.020287548770120976,-0.0007110244084516592,0.014288497738889993,0.004200382514620215,-0.016445635673729204,-0.0037380767179786105,-0.006988353370992964,-0.012197870467797366,-0.00688590175886927,0.002080656118453699,0.00691646159052463,0.003116728627155614,0.010241052751064088,0.015933032363712137,0.006575669807037059,0.014561579083959048,0.011554080704564366,-0.0017465008506417478,-0.018781888811244145,-0.02441670140728023,-0.0094825220364313,0.010540032184682295,0.022869076478140987,-0.003458519128700403,-0.0049384858272171935,0.006630718884223147,-0.0040197714123509695,0.0001266278927259461,0.009032191427654632,-0.020153452123736405,-0.017979311190628903,0.009083201595620457,-0.023670907317568126,0.007295104528234166,-0.0040764972636244,-0.0013249608136107816,0.0025892738636623274,-0.010526022031660493,0.009497289930642727,-0.0032085005037830465,0.017509341613685496,0.0016644565812265694
H6G84_RS00065,0.0023774574844241613,-0.005834028719929955,-0.008558975485329917,0.0018572399131106608,0.006901735709665856,-0.0008131043056725866,0.012919288807553792,-0.013372388485947817,0.00416385265257038,-0.020705167627924816,-0.013179799890020012,-0.003038749177989125,-0.004955757744160604,-0.006584210941932611,0.009384552335587224,-0.0034556260252533153,-0.017195685194809168,0.013969960281526842,0.008816600892816984,-0.008509601900415456,-0.0028152119052582835,0.005293388141139387,-0.0026884243526451653,-0.005746136251188634,-0.009219639011142292,-0.0002013161824361189,-0.013876590779380391,-0.007874066783846117,-0.010237191774159963,-0.012596502611095815,-0.00228438274660635,-0.0026700554600695126,-0.0016781643416953448,0.0077666816068171695,0.013364014166735248,0.0027496560877096976,-0.002048531989476908,0.002742885642941488,0.0030530010090665085,0.011092216377769814,0.0006066747253421789,0.007094411450305398,0.0003948533366162828,-0.0050961331575001744,-0.002471853257929228,-0.003426213448854298,-0.0004597495232257957,-0.0013596024510001575,3.57794043512673e-05,-0.005823361886924395,0.011593191648520264,0.013648790215653819,0.0043377348833123835,0.0072546784573184345,-0.010681906147511517,0.01625469693126029,-0.0023252572384206537,-0.025517928773067855,0.016721767924259917
H6G84_RS00070,-0.001728818828025313,-0.010564898757322031,0.010141288131463604,-0.018803523348675643,-0.012759352546623979,0.006548155778945502,-0.005126265211152682,-0.013218204477310942,-0.0012209959661650966,-0.014143859710826845,-0.005141909517465064,0.005548801909114443,0.004805174453456099,-0.011922717896221595,0.003360537245488892,-0.0021922487137185378,-0.013594068682998759,-0.007660190443855455,0.004472941714117878,-0.011313116990920316,-0.008926477101993662,-0.017105876037360232,-0.003909919772906663,0.00443337142855702,0.012878496271222522,0.004520489060017144,-0.016969581922671444,0.0031225202800989724,0.015125701597257013,0.005581306404234001,-0.009717641245421548,-0.020679923485927884,-0.011108883048067113,-0.004938289323643515,-0.016172122943665,0.00852889135037037,-0.003754944809844576,0.006544087098759818,0.0030133093188872994,-0.003948325561219063,-0.027527251112008842,0.004453777055882591,-0.007360639760676396,-0.009042562080273068,-0.024455633528524715,0.019900050508775455,0.0027574269598672346,0.03664974303131248,-0.0028095884004791815,-0.014608473981330923,-0.005799032803990238,-0.017834163947991227,0.030325319487666293,0.0045439465648986575,-0.017237920857200207,0.003107102150098948,0.0037485390511483698,0.008571292922709138,0.01210936573467514
H6G84_RS00075,0.010274437626435214,0.004334695325343299,0.0012319661208098226,-0.011041851028436496,-0.005585707255587438,0.005510881089600756,-0.0004445861153638859,-0.006031371514225025,-0.001115082649293275,-0.018605710650333097,-0.0018368588721371874,-0.005337006312462704,0.007357046331537501,-0.0154929585379643,0.0013090125295860972,-0.002917779971598848,-0.012531397885605047,-0.0051452054554555265,-0.006069355750411224,-0.0053133929474722,-0.0002591188851033648,-0.013970858474253653,-0.005205612752575704,0.006641716264686971,0.02051449194271781,-0.0029958535416108466,-0.0020642817871515578,-0.0023712259815987483,-0.0024218233190753,0.009801184619732062,0.008603908565857084,-0.018128150186880555,-0.009510940944051291,-0.010252132740588697,-0.012948733889340308,-0.00590126034505222,-0.006911378457212312,0.015581395624166152,0.011535957118999317,-0.003367818987397335,-0.020857336326807828,0.005643952701021993,-0.00026447538238478434,-0.00047087970660455926,-0.01920033491468056,0.009297391082205267,0.011307525282772447,0.024910203439866597,-0.02060034188640642,-0.013603104658807813,0.0033500382317548237,-0.01379678568384146,0.023819090672167434,0.008815190083478178,-0.01975737411287232,9.571151462564507e-05,-0.005241286755072549,-0.003417751112335965,0.00485512085308636
H6G84_RS00080,0.007875214894961385,0.0036629987133848145,0.0030603106841402576,-0.021933930174708557,-0.027609036789782018,0.006995280944144334,0.002635044586330005,-0.007265192315354936,0.024747284446164645,-0.003811360418304839,0.026558727305307027,0.03356957212735005,-0.009915952807487936,-0.010253337394873612,-0.012387524502750172,0.0071305589458132155,-0.007179887286932399,0.011665497843973692,-0.023742420210659327,-0.011938913052960185,-0.018835988803220984,0.025173019776049684,0.011913046527349579,-0.01145039632179299,-0.002044690709282333,-0.011527718939400102,-0.0017944634599826503,-0.021572336198146424,0.005709671831675843,0.006872516305617554,-0.02328358374348674,-0.015588498015252202,-0.009847684939692092,-0.0010866154468078361,-0.0036342560866273045,0.009631585350960505,0.0027414886640434767,0.01754929839372807,0.01698867991001073,-0.0013518424776004078,-0.018453514406805795,0.015009756340654665,-0.013412665312032905,-0.009870230725921204,-0.017843233015345218,0.02365967087960349,-0.029563134954599987,-0.007511188509008951,0.0004874722557759296,-0.018598344769173495,0.006187781616714328,-0.0005472168214792627,0.019777544057056954,-0.023071919648818114,0.02441753284596224,-0.0023661944486156107,0.007804818600208989,0.0046201612546403715,0.009703966772702464
H6G84_RS00085,-0.004604587897926658,0.0012672057595032103,-0.009971572635534123,-0.022814576013082597,-0.003749422210093529,0.013581176258038324,0.004485843669198776,0.022342130439101802,-0.0011547791763865541,0.014991608663951493,0.011766684265115932,-0.0052071572057424435,-0.005912539817536073,-0.012019193578498327,-0.012687763466457457,-0.013355834757907612,-0.0026264688910250743,-0.0044998116580849,-0.005202706810580931,-0.005323527232438362,0.00667839861841397,0.005056953019293186,-0.0014019212583231127,-0.008593619516999872,-0.010565198483943281,0.006916041960338135,-0.0013955595110816752,0.0004887660212448741,0.004297508168531611,0.03684730704534079,0.00035475785263431204,-0.0026685358086345457,-0.0004750601406044845,-0.004850351285434254,0.007192359180913602,0.002000225755901892,-0.0013413949557487014,0.0009641945467217638,0.001412898384278251,-0.007229031350612492,0.0033157292129894354,-0.01184834992192988,0.0014142094074367794,-0.0023131234750099127,-0.011951448027361962,0.0026722070856160635,-0.010143226041664772,0.0020908081089965006,0.00040331690320737995,-0.005278070772909662,0.0028690650010020245,0.0038678114115849736,-0.016783345984246065,0.046697872489321376,0.022241080107626907,-0.01261264559246909,-0.004835712527429218,0.04535661177824997,-0.03333610158064886
H6G84_RS00090,-0.009943512099553655,-0.011248958085486125,-0.008214749973147646,-0.004384356109223117,0.001751645637961071,0.009223910714770012,0.0006361030072638142,-0.012534295914925874,0.01553929263449928,-4.4459442046794435e-05,-0.007935642438711194,0.0029760040922136672,0.021636205372492664,-0.008580789238914872,-0.004723959162170328,-0.007161828376088932,-0.009412888761314702,-0.028435373569879692,0.018142341677592416,-0.013968855852107187,-0.009776078143478216,0.011594468424690594,0.013656179198181134,-0.001580341953987723,0.02005183143484688,-0.010330183644817446,-0.0017950092435703338,-0.006187956570044912,-0.0037793961194120735,0.011674441246102802,0.0033845785371377974,-0.010875743464094837,-0.008107202166411863,-0.002671450968851358,-0.007726974151376376,-0.019180812030490737,-0.01730840377015755,0.018415302018451887,0.0006524140635481379,-0.004692148934874095,0.006054953579236436,0.00479545175483396,-0.009153113249773687,-0.009930913466416297,-0.022208551566722544,-0.009671646515364164,-0.0029279024512678152,0.0056343898606650315,-0.009281160644141287,-0.004640074786065539,0.007067868895619457,-0.001242003386789145,-0.010117254885930394,0.013567309553667205,0.015084098265431303,0.0010722024895135646,0.005344905468512939,0.024547167156730564,-0.009320816997591541
H6G84_RS00095,0.012941298107551336,-0.0235163886593784,0.001565426636763933,-0.009239102244183853,0.01872601071071002,0.03225055463731791,0.008406707735932923,0.009169606142192102,0.016713770709115724,-0.0010406712411562252,0.0009667913217813913,0.02479225697561075,0.0003337211965738634,-0.004628120086562339,0.015359026779394736,0.00032836313868186246,-0.012250654513476495,0.014671427360731614,-0.04941958700591396,-0.020964348844562046,0.001285360273293456,0.00290740549760619,0.04979263471853864,0.10244037407828521,-0.022474501254407923,-0.0094226140681141,0.00833367995651546,0.021741199898706747,-0.01121703858702311,0.0007857774044119828,-0.023220236003087424,-0.0091286472870302,0.011511152787219127,0.002865300812563087,-0.018874334835857084,0.02505518386681769,-0.008979195840504956,-0.0008280720208597692,-0.003843757895898964,-0.0017467380157066925,-0.007386024737983055,0.020386792152950414,-0.00857632059506732,-0.010629206004922488,0.00012576560457930888,0.007581202092723231,0.007175026017128993,0.004862901780912576,-0.013942448871326837,-0.018179394690866,-0.012021403367815934,-0.030024060440843384,-0.007437507013334149,-0.01286494634728494,-0.003455954479086378,0.024371723456542947,0.024339483678137982,-0.0011146420005421758,0.0016159900660803667
H6G84_RS00100,0.023726936281526157,-0.019585825436722784,-0.0010260737583370411,-0.005881336520588773,-0.011387268307112546,0.02861707336772379,0.01708478622442309,-0.00606190910926352,-0.008543512686251859,0.04653411872329752,-0.01776280890253484,0.007940424642092358,0.006544301590030724,-0.005627834153683448,0.009989524174557556,-0.005670781095969416,-0.0018361679051676647,-0.0013800583345742203,0.02162568688928869,-0.03518819058285645,0.00767701908161333,-0.004896641385776581,-0.020559742826728747,0.047849592133421825,0.0010475822351094038,-0.02962096829379257,0.013166479414491035,-0.009125730288670501,-0.0026569864900474276,-0.009487549447627489,-0.01388973126400238,-0.004164474382864416,0.008160536435577972,0.011473450237828831,0.0056010124206502645,0.00520288918689028,0.01629931954490782,-0.014684582104093055,-0.035007178272838266,0.028372274809575895,0.0018629060912713805,0.0016821061219067,-0.005964923658701223,-0.018323323412097095,-0.0004904302336528492,0.00544713910996343,0.008127983891147418,-0.0009047503161167545,-0.006939519592008926,0.018842040143761712,0.0009936515402415684,-0.030222072570105,-0.021460424570689248,0.010323454811353976,0.010804766190971704,0.010124025133016013,0.02991662988997128,-0.017663504979522147,0.006118458201869114
